% N=1 shot

1 0
0 1

% N=2 shots       

1 0
0 1

% N=4 shots

1 0
0 1

% N=8 shots

1 0.125
0 0.875

% N=16 shots

1 0
0 1

% N=32 shots

0.96875 0.03125
0.03125 0.96875

% N=64 shots

0.96875 0.015625
0.03125 0.984375

% N=128 shots

0.992188 0.03125
0.0078125 0.96875

% N=256 shots

0.988281 0.0507812
0.0117188 0.949219

% N=512 shots

0.980469 0.0390625
0.0195312 0.960938

% N=1024 shots

0.988281 0.0400391
0.0117188 0.959961

% N=2048 shots

0.989258 0.027832
0.0107422 0.972168

% N=4096 shots   

0.982422 0.0593262
0.0175781 0.940674 

% N=8192 shots

0.980103 0.0550537
0.0198975 0.944946
